source,question,answer,rating
puzzles4_forum_hardest_1905,.5....7....3.8..9...926...4..8.1..6.........5.4....2....1..6...9..8.1.3..3..9....,852943716463187592719265384278514963396728145145639278581376429924851637637492851,42
puzzles4_forum_hardest_1905,...........86.4...57..8..6.85..6..3..9......2...9..8....5.1.3..3..7...1.71...6..5,461523789928674153573189264854267931196348572237951846685412397342795618719836425,53
puzzles4_forum_hardest_1905,9...7..4...6...5.7...3....9.8.....1.5...4.7....3..2...7...9...1.2...8......6.74..,918576243346921587257384169682759314591843726473162958764295831129438675835617492,26
puzzles1_unbiased,6.3...7............4.7..28....62..3.8.1.5....43.....9..58..6...3.28..67......13..,683412759275398146149765283597624831821953467436187592758236914312849675964571328,3
puzzles4_forum_hardest_1905,...9.1..5.5..7.6..1.....7.......2.6.5...9...7..3....8..4.......9...1..766...5.4.9,478961235352478691196523748819732564524896317763145982247689153935214876681357429,23
puzzles4_forum_hardest_1905,..4......1...7.2...2.8...5.7....4.....2.9.3...3.6....5.6.2..5....1.6...2.....9.86,594132867186975234327846951715384629642597318938621745469218573851763492273459186,43
puzzles4_forum_hardest_1905,2...5...7..7..36...8.7...1...6.3.7..9.......3.....8.2..9..65.....43..5..5....4..1,263159487157483692489726315816532749942617853375948126791865234624391578538274961,37
puzzles1_unbiased,7.9.1......32.8.5....3..6.9.4.....97...........5..1.....17....4.3.5.....82..4.5..,789615432463298751512374689146852397398467215275931846651783924934526178827149563,0
01_file1,.5...8...2...4...........71.92..5..4..462.8..6....9...4...62...8..5..9....5.9..4.,756918432231746589948253671192385764574621893683479125419862357827534916365197248,33
puzzles4_forum_hardest_1905,..58.......2...1...3..2...5.....48..3...9...6..91.6.7...3.6...2.6....7..29.4.....,915843627742659138836721945621574893374298516589136274153967482468312759297485361,48
01_file1,5..9....4.....5.7....83..6..2.54....97.........5...9...627..4..7.9..4.25........6,586917234293465871147832569328549617974126358615378942862751493739684125451293786,12
puzzles1_unbiased,4...8.2.3..9.4....15.6..9.......5..8.6...8..773.....9........6.81..........127.35,476981253289543176153672984942735618561298347738416592327859461815364729694127835,3
puzzles1_unbiased,1..7..96.....85.74.8........4.....51...3.4..7....1....63..7.5..59.1.6....1...37..,154732968923685174786941235849267351261354897375819642632478519597126483418593726,0
puzzles1_unbiased,5.9...3..32...67.9......5......3.....1....4.2..71.8.3.7..6.1....928.....64..9..5.,589472316321586749476913528854239167913765482267148935735621894192854673648397251,1
