puzzle_rating,puzzle_source,execution_time,max_recursion_depth,backtrack_count,solution_correct,solved
42,puzzles4_forum_hardest_1905,0.5778076648712158,59,8021,True,True
53,puzzles4_forum_hardest_1905,1.7373626232147217,57,23424,True,True
26,puzzles4_forum_hardest_1905,0.13651633262634277,59,1816,True,True
3,puzzles1_unbiased,0.026133298873901367,56,126,True,True
23,puzzles4_forum_hardest_1905,0.11807084083557129,58,1268,True,True
43,puzzles4_forum_hardest_1905,0.5072121620178223,58,7625,True,True
37,puzzles4_forum_hardest_1905,0.038721561431884766,57,394,True,True
0,puzzles1_unbiased,0.10583233833312988,58,1229,True,True
33,01_file1,0.0704963207244873,57,1145,True,True
48,puzzles4_forum_hardest_1905,1.5394999980926514,58,22288,True,True
12,01_file1,0.8550276756286621,57,9243,True,True
3,puzzles1_unbiased,0.009025812149047852,56,86,True,True
0,puzzles1_unbiased,0.03878927230834961,55,490,True,True
1,puzzles1_unbiased,0.03200268745422363,55,274,True,True
14,01_file1,0.010559558868408203,54,61,True,True
16,01_file1,0.15814566612243652,56,1838,True,True
80,puzzles4_forum_hardest_1905,1.1735525131225586,58,11632,True,True
6,puzzles4_forum_hardest_1905,0.43749117851257324,57,5625,True,True
11,01_file1,1.2201857566833496,58,19244,True,True
35,puzzles4_forum_hardest_1905,0.4240286350250244,58,4413,True,True
6,01_file1,0.67547607421875,56,14903,True,True
0,puzzles2_17_clue,0.935509443283081,65,9343,True,True
51,puzzles4_forum_hardest_1905,0.5139727592468262,57,5218,True,True
2,puzzles1_unbiased,0.029868125915527344,54,450,True,True
42,01_file1,0.6736383438110352,57,8829,True,True
40,01_file1,0.022457599639892578,56,218,True,True
0,puzzles1_unbiased,0.03785538673400879,56,400,True,True
11,puzzles4_forum_hardest_1905,0.2519402503967285,57,2539,True,True
0,puzzles1_unbiased,0.02629709243774414,55,216,True,True
7,puzzles4_forum_hardest_1905,0.5161120891571045,59,7632,True,True
1,puzzles1_unbiased,0.0197756290435791,56,97,True,True
41,01_file1,0.5175323486328125,56,9054,True,True
0,puzzles1_unbiased,0.21590662002563477,57,3266,True,True
60,01_file1,0.6278750896453857,56,10790,True,True
22,01_file1,0.3442256450653076,55,3663,True,True
27,puzzles4_forum_hardest_1905,0.019939422607421875,57,256,True,True
22,puzzles4_forum_hardest_1905,0.20697402954101562,57,2231,True,True
8,puzzles4_forum_hardest_1905,1.6060950756072998,59,21499,True,True
97,puzzles4_forum_hardest_1905,1.044924259185791,59,14120,True,True
9,puzzles4_forum_hardest_1905,1.8667254447937012,58,25868,True,True
12,puzzles4_forum_hardest_1905,4.492759466171265,59,44105,True,True
20,01_file1,0.668602705001831,57,8378,True,True
24,puzzles4_forum_hardest_1905,1.2155077457427979,59,17253,True,True
2,puzzles1_unbiased,0.01915597915649414,56,74,True,True
14,puzzles4_forum_hardest_1905,0.6492469310760498,58,7073,True,True
68,puzzles4_forum_hardest_1905,2.521641969680786,58,33732,True,True
39,01_file1,0.13214445114135742,55,1919,True,True
0,puzzles1_unbiased,0.007089853286743164,56,21,True,True
28,01_file1,0.7805526256561279,55,12352,True,True
14,puzzles4_forum_hardest_1905,0.42421388626098633,58,5282,True,True
6,puzzles4_forum_hardest_1905,0.051744699478149414,56,495,True,True
61,01_file1,0.2032465934753418,56,2236,True,True
10,puzzles4_forum_hardest_1905,0.05599617958068848,57,616,True,True
31,puzzles4_forum_hardest_1905,1.1068367958068848,58,14276,True,True
1,puzzles1_unbiased,0.010083198547363281,58,42,True,True
20,puzzles4_forum_hardest_1905,0.2131965160369873,57,1779,True,True
41,puzzles4_forum_hardest_1905,0.8419220447540283,58,8636,True,True
7,puzzles5_forum_hardest_1905_11+,0.05346274375915527,58,657,True,True
56,puzzles4_forum_hardest_1905,0.4693117141723633,57,6922,True,True
22,01_file1,0.5443329811096191,55,8321,True,True
2,puzzles1_unbiased,0.023377180099487305,56,164,True,True
0,puzzles1_unbiased,0.01123952865600586,58,64,True,True
3,puzzles1_unbiased,0.04832029342651367,56,488,True,True
65,01_file1,0.1269690990447998,54,1523,True,True
36,01_file1,1.2079064846038818,56,18448,True,True
31,puzzles4_forum_hardest_1905,0.11997795104980469,58,1685,True,True
6,puzzles4_forum_hardest_1905,0.20957040786743164,57,2719,True,True
39,01_file1,0.10620307922363281,59,1018,True,True
32,puzzles4_forum_hardest_1905,0.014216423034667969,56,85,True,True
57,puzzles4_forum_hardest_1905,3.046518087387085,59,36435,True,True
51,puzzles4_forum_hardest_1905,0.5940334796905518,56,7387,True,True
93,puzzles4_forum_hardest_1905,1.1644155979156494,58,12912,True,True
37,puzzles4_forum_hardest_1905,0.6526720523834229,59,8568,True,True
12,puzzles4_forum_hardest_1905,0.2243821620941162,59,2315,True,True
9,puzzles4_forum_hardest_1905,0.03255319595336914,56,230,True,True
21,puzzles4_forum_hardest_1905,0.25501251220703125,59,3390,True,True
9,puzzles4_forum_hardest_1905,2.64424729347229,56,36385,True,True
8,puzzles4_forum_hardest_1905,0.060015201568603516,57,862,True,True
108,puzzles4_forum_hardest_1905,1.1626763343811035,59,18469,True,True
21,puzzles4_forum_hardest_1905,0.3927428722381592,56,5674,True,True
0,puzzles1_unbiased,0.019550800323486328,58,89,True,True
0,puzzles0_kaggle,0.0011069774627685547,48,0,True,True
1,puzzles1_unbiased,0.03147554397583008,56,515,True,True
11,puzzles4_forum_hardest_1905,0.1598987579345703,58,1722,True,True
0,puzzles1_unbiased,0.007907390594482422,57,19,True,True
0,puzzles1_unbiased,0.02486562728881836,56,192,True,True
17,01_file1,0.264326810836792,55,2869,True,True
1,puzzles1_unbiased,0.0138092041015625,56,44,True,True
41,puzzles4_forum_hardest_1905,0.04076671600341797,59,432,True,True
33,puzzles4_forum_hardest_1905,0.3534064292907715,59,5044,True,True
19,puzzles4_forum_hardest_1905,4.198251008987427,60,49976,True,True
53,puzzles4_forum_hardest_1905,0.5765645503997803,57,8326,True,True
44,puzzles4_forum_hardest_1905,1.5608105659484863,58,23502,True,True
12,puzzles4_forum_hardest_1905,0.35994434356689453,59,3079,True,True
0,puzzles1_unbiased,0.04912304878234863,57,424,True,True
0,puzzles1_unbiased,0.0029790401458740234,55,0,True,True
0,puzzles1_unbiased,0.02600693702697754,57,228,True,True
77,puzzles4_forum_hardest_1905,0.8896491527557373,56,12795,True,True
17,puzzles4_forum_hardest_1905,0.1225123405456543,57,1543,True,True
