puzzle_rating,puzzle_source,execution_time,max_recursion_depth,backtrack_count,solution_correct,solved
42,puzzles4_forum_hardest_1905,0.5679326057434082,59,8021,True,True
53,puzzles4_forum_hardest_1905,1.6654841899871826,57,23424,True,True
26,puzzles4_forum_hardest_1905,0.12630271911621094,59,1816,True,True
3,puzzles1_unbiased,0.022598981857299805,56,126,True,True
23,puzzles4_forum_hardest_1905,0.12537455558776855,58,1268,True,True
43,puzzles4_forum_hardest_1905,0.48652172088623047,58,7625,True,True
37,puzzles4_forum_hardest_1905,0.03450918197631836,57,394,True,True
0,puzzles1_unbiased,0.09590411186218262,58,1229,True,True
33,01_file1,0.07623863220214844,57,1145,True,True
48,puzzles4_forum_hardest_1905,1.4952023029327393,58,22288,True,True
12,01_file1,0.857414960861206,57,9243,True,True
3,puzzles1_unbiased,0.010009050369262695,56,86,True,True
0,puzzles1_unbiased,0.03708004951477051,55,490,True,True
1,puzzles1_unbiased,0.02758502960205078,55,274,True,True
14,01_file1,0.009174108505249023,54,61,True,True
16,01_file1,0.16387438774108887,56,1838,True,True
80,puzzles4_forum_hardest_1905,1.1327621936798096,58,11632,True,True
6,puzzles4_forum_hardest_1905,0.43732547760009766,57,5625,True,True
11,01_file1,1.185575008392334,58,19244,True,True
35,puzzles4_forum_hardest_1905,0.42168474197387695,58,4413,True,True
6,01_file1,0.6820425987243652,56,14903,True,True
0,puzzles2_17_clue,0.9335274696350098,65,9343,True,True
51,puzzles4_forum_hardest_1905,0.5080771446228027,57,5218,True,True
2,puzzles1_unbiased,0.028091907501220703,54,450,True,True
42,01_file1,0.6744563579559326,57,8829,True,True
40,01_file1,0.023697853088378906,56,218,True,True
0,puzzles1_unbiased,0.04147195816040039,56,400,True,True
11,puzzles4_forum_hardest_1905,0.23656487464904785,57,2539,True,True
0,puzzles1_unbiased,0.02894878387451172,55,216,True,True
7,puzzles4_forum_hardest_1905,0.5238780975341797,59,7632,True,True
1,puzzles1_unbiased,0.015002250671386719,56,97,True,True
41,01_file1,0.5290665626525879,56,9054,True,True
0,puzzles1_unbiased,0.21673893928527832,57,3266,True,True
60,01_file1,0.6314964294433594,56,10790,True,True
22,01_file1,0.347306489944458,55,3663,True,True
27,puzzles4_forum_hardest_1905,0.01903700828552246,57,256,True,True
22,puzzles4_forum_hardest_1905,0.20541667938232422,57,2231,True,True
8,puzzles4_forum_hardest_1905,1.5909206867218018,59,21499,True,True
97,puzzles4_forum_hardest_1905,1.0469989776611328,59,14120,True,True
9,puzzles4_forum_hardest_1905,1.7128942012786865,58,25868,True,True
12,puzzles4_forum_hardest_1905,4.110753536224365,59,44105,True,True
20,01_file1,0.6036465167999268,57,8378,True,True
24,puzzles4_forum_hardest_1905,1.183701515197754,59,17253,True,True
2,puzzles1_unbiased,0.016622543334960938,56,74,True,True
14,puzzles4_forum_hardest_1905,0.5602385997772217,58,7073,True,True
68,puzzles4_forum_hardest_1905,2.502415657043457,58,33732,True,True
39,01_file1,0.13860559463500977,55,1919,True,True
0,puzzles1_unbiased,0.007997274398803711,56,21,True,True
28,01_file1,0.7915627956390381,55,12352,True,True
14,puzzles4_forum_hardest_1905,0.4339261054992676,58,5282,True,True
6,puzzles4_forum_hardest_1905,0.05220675468444824,56,495,True,True
61,01_file1,0.19938445091247559,56,2236,True,True
10,puzzles4_forum_hardest_1905,0.05576348304748535,57,616,True,True
31,puzzles4_forum_hardest_1905,1.1039204597473145,58,14276,True,True
1,puzzles1_unbiased,0.010002374649047852,58,42,True,True
20,puzzles4_forum_hardest_1905,0.22142767906188965,57,1779,True,True
41,puzzles4_forum_hardest_1905,0.7124660015106201,58,8636,True,True
7,puzzles5_forum_hardest_1905_11+,0.06072711944580078,58,657,True,True
56,puzzles4_forum_hardest_1905,0.46895670890808105,57,6922,True,True
22,01_file1,0.5338075160980225,55,8321,True,True
2,puzzles1_unbiased,0.02262711524963379,56,164,True,True
0,puzzles1_unbiased,0.01020359992980957,58,64,True,True
3,puzzles1_unbiased,0.050113677978515625,56,488,True,True
65,01_file1,0.11771202087402344,54,1523,True,True
36,01_file1,1.0180933475494385,56,18448,True,True
31,puzzles4_forum_hardest_1905,0.12118792533874512,58,1685,True,True
6,puzzles4_forum_hardest_1905,0.20469188690185547,57,2719,True,True
39,01_file1,0.10215163230895996,59,1018,True,True
32,puzzles4_forum_hardest_1905,0.01400446891784668,56,85,True,True
57,puzzles4_forum_hardest_1905,2.747143507003784,59,36435,True,True
51,puzzles4_forum_hardest_1905,0.5832052230834961,56,7387,True,True
93,puzzles4_forum_hardest_1905,1.1515209674835205,58,12912,True,True
37,puzzles4_forum_hardest_1905,0.6265623569488525,59,8568,True,True
12,puzzles4_forum_hardest_1905,0.13648176193237305,59,2315,True,True
9,puzzles4_forum_hardest_1905,0.02863168716430664,56,230,True,True
21,puzzles4_forum_hardest_1905,0.24179792404174805,59,3390,True,True
9,puzzles4_forum_hardest_1905,2.542295455932617,56,36385,True,True
8,puzzles4_forum_hardest_1905,0.06521821022033691,57,862,True,True
108,puzzles4_forum_hardest_1905,1.1383335590362549,59,18469,True,True
21,puzzles4_forum_hardest_1905,0.37995266914367676,56,5674,True,True
0,puzzles1_unbiased,0.022001981735229492,58,89,True,True
0,puzzles0_kaggle,0.0014605522155761719,48,0,True,True
1,puzzles1_unbiased,0.034522294998168945,56,515,True,True
11,puzzles4_forum_hardest_1905,0.11328840255737305,58,1722,True,True
0,puzzles1_unbiased,0.0050084590911865234,57,19,True,True
0,puzzles1_unbiased,0.02196216583251953,56,192,True,True
17,01_file1,0.21400976181030273,55,2869,True,True
1,puzzles1_unbiased,0.012590646743774414,56,44,True,True
41,puzzles4_forum_hardest_1905,0.03949546813964844,59,432,True,True
33,puzzles4_forum_hardest_1905,0.31824541091918945,59,5044,True,True
19,puzzles4_forum_hardest_1905,3.8424997329711914,60,49976,True,True
53,puzzles4_forum_hardest_1905,0.5379602909088135,57,8326,True,True
44,puzzles4_forum_hardest_1905,1.471357822418213,58,23502,True,True
12,puzzles4_forum_hardest_1905,0.28220057487487793,59,3079,True,True
0,puzzles1_unbiased,0.05749964714050293,57,424,True,True
0,puzzles1_unbiased,0.004000186920166016,55,0,True,True
0,puzzles1_unbiased,0.03557634353637695,57,228,True,True
77,puzzles4_forum_hardest_1905,0.8587665557861328,56,12795,True,True
17,puzzles4_forum_hardest_1905,0.12520861625671387,57,1543,True,True
48,puzzles4_forum_hardest_1905,0.982872486114502,57,10318,True,True
